"past_virus_outbreaks","temperature","chlorophyll","phosphorus","nitrogen","salinity","dinoflagellates","diatoms","salmon_lice_outbreak"
4,13.79,70,39,744,36.7,2.329,31,"neg"
0,8.19,80,31,53,45.2,0.089,24,"neg"
4,9.94,86,0,0,44,0.645,22,"pos"
6,9.38,80,37,370,46.2,0.238,46,"pos"
1,5.53,80,25,37,25.4,0.583,22,"neg"
4,8.54,68,0,0,35,0.394,29,"neg"
3,5.18,68,28,45,29.7,0.293,23,"neg"
4,11.97,72,0,0,43.6,0.479,26,"pos"
7,12.67,84,21,192,35.9,0.586,51,"pos"
0,12.53,90,27,0,44.1,0.686,23,"pos"
9,11.48,84,21,0,30.8,0.831,32,"pos"
0,7.28,76,0,0,18.4,0.582,27,"neg"
1,6.37,64,24,0,29.2,0.192,21,"neg"
4,6.37,70,32,88,33.1,0.446,22,"neg"
3,9.73,54,0,0,25.6,0.402,22,"pos"
6,8.33,50,22,176,27.1,1.318,33,"pos"
2,10.22,76,35,194,38.2,0.329,29,"neg"
9,12.88,85,15,0,30,1.213,49,"pos"
10,8.54,68,0,0,31.2,0.258,41,"neg"
0,11.55,90,33,680,52.3,0.427,23,"neg"
9,8.68,70,33,402,35.4,0.282,34,"neg"
1,7.77,86,19,0,30.1,0.143,23,"neg"
9,7.42,52,0,0,31.2,0.38,42,"neg"
2,9.03,84,0,0,28,0.284,27,"neg"
2,6.3,80,14,55,24.4,0.249,24,"neg"
0,6.02,68,32,0,35.8,0.238,25,"neg"
12,6.44,62,7,258,27.6,0.926,44,"pos"
1,7.91,64,35,0,33.6,0.543,21,"pos"
3,7.77,56,39,0,30.1,0.557,30,"neg"
2,7.98,68,22,0,28.7,0.092,25,"neg"
1,13.51,50,16,375,25.9,0.655,24,"neg"
11,10.85,76,28,150,33.3,1.353,51,"pos"
3,13.37,68,15,130,30.9,0.299,34,"neg"
3,9.87,0,0,0,30,0.761,27,"pos"
4,6.65,70,32,0,32.1,0.612,24,"neg"
3,9.94,80,15,0,32.4,0.2,63,"neg"
4,8.61,62,0,0,32,0.226,35,"pos"
5,6.72,74,18,67,33.6,0.997,43,"neg"
0,9.66,0,0,0,36.3,0.933,25,"pos"
2,8.96,64,42,0,40,1.101,24,"neg"
0,7.14,52,0,0,25.1,0.078,21,"neg"
2,10.22,0,0,0,27.5,0.24,28,"pos"
10,7.07,86,37,0,45.6,1.136,38,"pos"
2,7.56,62,32,56,25.2,0.128,21,"neg"
3,8.54,78,0,0,23,0.254,40,"neg"
1,4.97,78,50,45,33.2,0.422,21,"neg"
13,7.42,70,0,0,34.2,0.251,52,"neg"
2,7,70,52,57,40.5,0.677,25,"neg"
7,7.42,60,24,0,26.5,0.296,29,"pos"
0,7.28,64,23,116,27.8,0.454,23,"neg"
5,7.98,74,0,0,24.9,0.744,57,"neg"
2,7.56,62,10,278,25.3,0.881,22,"neg"
0,10.22,70,0,0,37.9,0.334,28,"pos"
10,9.03,76,28,122,35.9,0.28,39,"neg"
7,9.31,88,15,155,32.4,0.262,37,"neg"
7,11.27,86,0,0,30.4,0.165,47,"pos"
2,7.56,80,0,0,27,0.259,52,"pos"
7,9.52,74,26,135,26,0.647,51,"neg"
5,10.85,84,44,545,38.7,0.619,34,"neg"
1,8.33,86,39,220,45.6,0.808,29,"pos"
4,6.72,56,17,49,20.8,0.34,26,"neg"
5,7.56,72,43,75,36.1,0.263,33,"neg"
0,5.46,88,29,40,36.9,0.434,21,"neg"
0,7.49,62,30,74,36.6,0.757,25,"pos"
2,8.96,78,37,182,43.3,1.224,31,"pos"
1,8.96,48,45,194,40.5,0.613,24,"pos"
0,11.27,50,0,0,21.9,0.254,65,"neg"
6,10.57,62,31,120,35.5,0.692,28,"neg"
2,10.22,70,38,360,28,0.337,29,"pos"
0,8.82,84,29,215,30.7,0.52,24,"neg"
14,7,78,25,184,36.6,0.412,46,"pos"
8,7.84,72,0,0,23.6,0.84,58,"neg"
0,11.69,0,0,0,32.3,0.839,30,"pos"
2,10.08,58,33,135,31.6,0.422,25,"pos"
5,5.39,82,41,42,35.8,0.156,35,"neg"
5,8.05,98,0,0,52.9,0.209,28,"pos"
3,10.5,76,0,0,21,0.207,37,"neg"
2,8.4,76,37,105,39.7,0.215,29,"neg"
10,11.27,68,23,132,25.5,0.326,47,"pos"
0,9.59,68,14,148,24.8,0.143,21,"neg"
0,8.96,68,19,180,30.5,1.391,25,"pos"
2,8.68,68,28,205,32.9,0.875,30,"pos"
6,5.6,66,30,0,26.2,0.313,41,"neg"
0,7.42,70,37,148,39.4,0.605,22,"neg"
2,10.85,74,17,96,26.6,0.433,27,"pos"
3,7.91,50,10,85,29.5,0.626,25,"neg"
7,7.63,80,31,0,35.9,1.127,43,"pos"
2,7.84,68,22,94,34.1,0.315,26,"neg"
3,6.93,80,11,64,19.3,0.284,30,"neg"
3,12.74,74,0,0,30.5,0.345,29,"pos"
3,8.05,66,39,140,38.1,0.15,28,"neg"
6,13.58,78,0,0,23.5,0.129,59,"pos"
4,9.03,60,12,231,27.5,0.527,31,"neg"
3,7.84,74,30,0,31.6,0.197,25,"pos"
0,8.68,70,20,0,27.4,0.254,36,"pos"
13,10.64,90,33,29,26.8,0.731,43,"pos"
2,7.84,75,32,0,35.7,0.148,21,"neg"
1,10.99,72,21,168,25.6,0.123,24,"neg"
1,8.54,64,32,156,35.1,0.692,30,"pos"
10,12.53,70,0,0,35.1,0.2,37,"neg"
2,7.14,86,36,120,45.5,0.127,23,"pos"
6,7.35,70,32,68,30.8,0.122,37,"neg"
8,8.26,72,19,0,23.1,1.476,46,"neg"
2,6.09,58,16,52,32.7,0.166,25,"neg"
1,12.6,0,0,0,43.3,0.282,41,"pos"
12,7.42,80,0,0,23.6,0.137,44,"neg"
1,6.65,60,18,58,23.9,0.26,22,"neg"
0,11.55,76,43,255,47.9,0.259,26,"neg"
0,8.19,0,0,0,33.8,0.932,44,"neg"
5,8.05,76,0,0,31.2,0.343,44,"pos"
9,10.64,78,34,171,34.2,0.893,33,"pos"
7,12.46,84,0,0,39.9,0.331,41,"pos"
1,9.1,70,13,105,25.9,0.472,22,"neg"
1,6.65,74,21,73,25.9,0.673,36,"neg"
1,0,68,35,0,32,0.389,22,"neg"
5,8.54,86,0,0,34.7,0.29,33,"neg"
8,6.65,72,0,0,36.8,0.485,57,"neg"
8,8.82,88,36,108,38.5,0.349,49,"neg"
1,9.73,46,19,83,28.7,0.654,22,"neg"
3,8.12,0,0,0,23.5,0.187,23,"neg"
3,6.93,62,19,74,21.8,0.279,26,"neg"
5,0,80,32,0,41,0.346,37,"pos"
4,6.44,80,0,0,42.2,0.237,29,"neg"
4,9.59,84,0,0,31.2,0.252,30,"neg"
3,4.27,82,28,0,34.4,0.243,46,"neg"
1,6.3,62,12,43,27.2,0.58,24,"neg"
3,6.3,78,0,0,42.7,0.559,21,"neg"
9,11.55,88,0,0,30.4,0.302,49,"pos"
1,8.75,50,40,167,33.3,0.962,28,"pos"
13,9.03,0,30,0,39.9,0.569,44,"pos"
12,6.16,74,40,54,35.3,0.378,48,"neg"
1,13.72,76,36,249,36.5,0.875,29,"pos"
5,13.23,64,33,325,31.2,0.583,29,"pos"
5,11.06,70,0,0,29.8,0.207,63,"neg"
5,7.21,108,37,0,39.2,0.305,65,"neg"
4,10.22,78,0,0,38.5,0.52,67,"pos"
4,10.29,74,25,293,34.9,0.385,30,"neg"
5,6.93,54,28,83,34,0.499,30,"neg"
6,8.68,72,0,0,27.6,0.368,29,"pos"
0,7.07,64,17,0,21,0.252,21,"neg"
3,5.67,86,16,66,27.5,0.306,22,"neg"
1,9.31,102,28,140,32.8,0.234,45,"pos"
3,12.11,82,48,465,38.4,2.137,25,"pos"
0,8.26,64,23,89,0,1.731,21,"neg"
0,5.88,64,22,66,35.8,0.545,21,"neg"
2,7.35,58,40,94,34.9,0.225,25,"neg"
2,8.54,52,43,158,36.2,0.816,28,"neg"
12,9.8,82,43,325,39.2,0.528,58,"pos"
0,6.86,82,15,84,25.2,0.299,22,"neg"
1,6.09,60,37,75,37.2,0.509,22,"neg"
4,10.92,75,0,0,48.3,0.238,32,"pos"
0,6.51,100,39,72,43.4,1.021,35,"neg"
1,7.49,72,30,82,30.8,0.821,24,"neg"
0,7.35,68,22,0,20,0.236,22,"neg"
1,7.63,60,8,182,25.4,0.947,21,"neg"
1,6.3,62,18,59,25.1,1.268,25,"neg"
1,8.75,70,24,110,24.3,0.221,25,"neg"
1,8.33,54,13,50,22.3,0.205,24,"neg"
5,8.12,74,29,0,32.3,0.66,35,"pos"
8,7.35,100,36,0,43.3,0.239,45,"pos"
5,10.08,82,26,285,32,0.452,58,"pos"
3,7,68,23,81,31.6,0.949,28,"neg"
1,7,66,29,196,32,0.444,42,"neg"
5,11.62,76,0,0,45.7,0.34,27,"pos"
1,9.17,64,14,415,23.7,0.389,21,"neg"
4,8.12,72,12,87,22.1,0.463,37,"neg"
4,11.06,78,0,0,32.9,0.803,31,"pos"
2,8.89,58,24,275,27.7,1.6,25,"neg"
3,6.72,56,34,115,24.7,0.944,39,"neg"
0,9.17,66,40,0,34.3,0.196,22,"pos"
3,5.74,70,0,0,21.1,0.389,25,"neg"
3,13.51,70,31,0,34.9,0.241,25,"pos"
4,6.65,64,0,0,32,0.161,31,"pos"
6,9.59,61,0,0,24.2,0.151,55,"neg"
5,9.52,84,41,88,35,0.286,35,"pos"
9,5.04,78,25,0,31.6,0.28,38,"neg"
5,11.76,64,0,0,32.9,0.135,41,"pos"
2,8.61,48,32,165,42.1,0.52,26,"neg"
4,8.05,72,0,0,28.9,0.376,46,"pos"
0,7.07,62,0,0,21.9,0.336,25,"neg"
8,13.79,74,0,0,25.9,1.191,39,"pos"
1,12.04,68,49,579,42.4,0.702,28,"pos"
6,7.14,90,39,0,35.7,0.674,28,"neg"
1,7.84,72,30,176,34.4,0.528,25,"neg"
1,10.01,84,23,310,42.4,1.076,22,"neg"
1,10.01,74,22,61,26.2,0.256,21,"neg"
0,9.66,60,35,167,34.6,0.534,21,"pos"
3,12.11,84,33,474,35.7,0.258,22,"pos"
1,6.79,68,21,0,27.2,1.095,22,"neg"
4,10.08,82,32,0,38.5,0.554,37,"pos"
1,5.81,68,0,0,18.2,0.624,27,"neg"
3,9.03,64,29,115,26.4,0.219,28,"pos"
1,8.33,88,41,170,45.3,0.507,26,"neg"
2,6.58,68,18,76,26,0.561,21,"neg"
0,7.14,64,46,78,40.6,0.496,21,"neg"
2,8.05,64,22,0,30.8,0.421,21,"neg"
8,10.57,78,32,210,42.9,0.516,36,"pos"
4,12.88,78,39,277,37,0.264,31,"pos"
0,6.58,0,0,0,0,0.256,25,"neg"
1,12.67,64,30,180,34.1,0.328,38,"pos"
0,9.45,94,46,145,40.6,0.284,26,"neg"
1,6.65,82,25,180,35,0.233,43,"pos"
2,6.93,0,0,0,22.2,0.108,23,"neg"
3,6.23,74,16,85,30.4,0.551,38,"neg"
1,5.6,74,11,60,30,0.527,22,"neg"
2,9.73,75,0,0,25.6,0.167,29,"neg"
1,6.3,68,8,0,24.5,1.138,36,"neg"
0,9.87,0,0,0,42.4,0.205,29,"pos"
12,9.8,85,33,0,37.4,0.244,41,"neg"
5,10.29,75,0,0,29.9,0.434,28,"neg"
1,6.79,70,15,0,18.2,0.147,21,"neg"
6,7.49,88,0,0,36.8,0.727,31,"neg"
0,13.23,104,25,0,34.3,0.435,41,"pos"
2,5.81,66,23,50,32.2,0.497,22,"neg"
4,8.19,64,27,120,33.2,0.23,24,"neg"
8,7.56,70,0,0,30.5,0.955,33,"pos"
4,8.19,62,12,0,29.7,0.38,30,"pos"
0,12.6,78,63,14,59.4,2.42,25,"pos"
1,7,72,12,70,25.3,0.658,28,"neg"
0,6.65,80,45,92,36.5,0.33,26,"neg"
0,7.28,64,37,64,33.6,0.51,22,"pos"
0,8.4,74,18,63,30.5,0.285,26,"neg"
1,5.74,64,13,95,21.2,0.415,23,"neg"
2,9.38,70,0,0,28.9,0.542,23,"pos"
0,6.37,68,32,210,39.9,0.381,25,"neg"
2,8.33,0,0,0,19.6,0.832,72,"neg"
2,7,54,28,105,37.8,0.498,24,"neg"
14,12.25,62,30,0,33.6,0.212,38,"pos"
1,9.45,54,0,0,26.7,0.687,62,"neg"
5,6.02,68,28,71,30.2,0.364,24,"neg"
10,10.36,84,48,237,37.6,1.001,51,"pos"
9,9.38,74,33,60,25.9,0.46,81,"neg"
9,8.4,72,22,56,20.8,0.733,48,"neg"
1,4.97,62,0,0,21.8,0.416,26,"neg"
8,5.18,70,40,49,35.3,0.705,39,"neg"
5,6.16,78,30,0,27.6,0.258,37,"neg"
10,8.05,98,0,0,24,1.022,34,"neg"
0,8.68,56,13,105,21.8,0.452,21,"neg"
0,5.18,52,10,36,27.8,0.269,22,"neg"
0,6.79,64,36,100,36.8,0.6,25,"neg"
8,8.4,0,0,0,30,0.183,38,"pos"
6,10.78,78,41,140,46.1,0.571,27,"neg"
1,10.08,82,40,0,41.3,0.607,28,"neg"
0,9.59,70,38,0,33.2,0.17,22,"neg"
0,8.33,66,27,0,38.8,0.259,22,"neg"
7,9.52,90,0,0,29.9,0.21,50,"neg"
4,7.98,64,0,0,28.9,0.126,24,"neg"
0,9.59,84,27,0,27.3,0.231,59,"neg"
2,7.35,80,45,191,33.7,0.711,29,"pos"
7,7.98,76,17,110,23.8,0.466,31,"neg"
8,8.82,74,38,75,25.9,0.162,39,"neg"
4,9.24,86,31,0,28,0.419,63,"neg"
3,11.06,70,30,328,35.5,0.344,35,"pos"
0,8.61,88,37,0,35.2,0.197,29,"neg"
4,5.95,58,22,49,27.8,0.306,28,"neg"
0,5.88,82,31,125,38.2,0.233,23,"neg"
0,10.15,0,0,0,44.2,0.63,31,"pos"
0,9.45,68,42,250,42.3,0.365,24,"pos"
1,9.73,62,41,480,40.7,0.536,21,"neg"
0,12.11,78,32,265,46.5,1.159,58,"neg"
4,6.93,72,17,0,25.6,0.294,28,"neg"
8,13.58,80,0,0,26.1,0.551,67,"neg"
2,5.81,65,28,66,36.8,0.629,24,"neg"
2,6.23,90,30,0,33.5,0.292,42,"neg"
4,6.93,68,38,0,32.8,0.145,33,"neg"
4,8.75,70,18,122,28.9,1.144,45,"pos"
3,5.6,0,0,0,0,0.174,22,"neg"
6,11.62,74,0,0,26.6,0.304,66,"neg"
5,7.7,68,0,0,26,0.292,30,"neg"
2,5.67,72,15,76,30.1,0.547,25,"neg"
7,13.65,70,33,145,25.1,0.163,55,"pos"
6,10.78,74,32,193,29.3,0.839,39,"neg"
2,8.19,90,19,71,25.2,0.313,21,"neg"
3,5.88,72,32,0,37.2,0.267,28,"neg"
6,0,68,41,0,39,0.727,41,"pos"
7,6.58,64,25,79,33.3,0.738,41,"neg"
3,6.72,78,39,0,37.3,0.238,40,"neg"
10,5.25,82,0,0,33.3,0.263,38,"neg"
0,12.6,90,26,90,36.5,0.314,35,"pos"
1,9.1,60,23,170,28.6,0.692,21,"neg"
2,5.88,50,23,76,30.4,0.968,21,"neg"
8,8.4,78,0,0,25,0.409,64,"neg"
12,5.88,72,31,0,29.7,0.297,46,"pos"
0,9.73,62,17,210,22.1,0.207,21,"neg"
9,6.37,68,0,0,24.2,0.2,58,"neg"
2,6.37,62,0,0,27.3,0.525,22,"neg"
3,6.93,54,19,86,25.6,0.154,24,"neg"
3,11.41,70,18,105,31.6,0.268,28,"pos"
9,10.15,88,34,165,30.3,0.771,53,"pos"
7,8.75,86,0,0,37.6,0.304,51,"neg"
13,5.32,60,0,0,32.8,0.18,41,"neg"
